year,test,LEA,school,subject,proficiency
2017,SAGE,ALPINE DISTRICT,SHARON SCHOOL,English Language Arts,0.26
2017,SAGE,ALPINE DISTRICT,SHELLEY SCHOOL,English Language Arts,0.64
2017,SAGE,ALPINE DISTRICT,SUNCREST SCHOOL,English Language Arts,0.18
2017,SAGE,ALPINE DISTRICT,VALLEY VIEW SCHOOL,English Language Arts,0.70
2017,SAGE,ALPINE DISTRICT,VINEYARD SCHOOL,English Language Arts,0.49
2017,SAGE,ALPINE DISTRICT,WESTMORE SCHOOL,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,WINDSOR SCHOOL,English Language Arts,0.46
2017,SAGE,ALPINE DISTRICT,FOOTHILL SCHOOL,English Language Arts,0.66
2017,SAGE,ALPINE DISTRICT,MOUNT MAHOGANY SCHOOL,English Language Arts,0.41
2017,SAGE,ALPINE DISTRICT,SNOW SPRINGS SCHOOL,English Language Arts,0.54
2017,SAGE,ALPINE DISTRICT,WESTFIELD SCHOOL,English Language Arts,0.66
2017,SAGE,ALPINE DISTRICT,DEERFIELD SCHOOL,English Language Arts,0.55
2017,SAGE,ALPINE DISTRICT,PONY EXPRESS SCHOOL,English Language Arts,0.48
2017,SAGE,ALPINE DISTRICT,FREEDOM SCHOOL,English Language Arts,0.66
2017,SAGE,ALPINE DISTRICT,EAGLE VALLEY SCHOOL,English Language Arts,0.25
2017,SAGE,ALPINE DISTRICT,SARATOGA SHORES SCHOOL,English Language Arts,0.67
2017,SAGE,ALPINE DISTRICT,FOX HOLLOW SCHOOL,English Language Arts,0.58
2017,SAGE,ALPINE DISTRICT,HARVEST SCHOOL,English Language Arts,0.55
2017,SAGE,ALPINE DISTRICT,RIDGELINE SCHOOL,English Language Arts,0.62
2017,SAGE,ALPINE DISTRICT,HIDDEN HOLLOW SCHOOL,English Language Arts,0.56
2017,SAGE,ALPINE DISTRICT,NORTH POINT SCHOOL,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,SAGE HILLS SCHOOL,English Language Arts,0.38
2017,SAGE,ALPINE DISTRICT,MOUNTAIN TRAILS SCHOOL,English Language Arts,0.32
2017,SAGE,ALPINE DISTRICT,TRAVERSE MOUNTAIN SCHOOL,English Language Arts,0.55
2017,SAGE,ALPINE DISTRICT,RIVERVIEW SCHOOL,English Language Arts,0.43
2017,SAGE,ALPINE DISTRICT,THUNDER RIDGE SCHOOL,English Language Arts,0.53
2017,SAGE,ALPINE DISTRICT,DRY CREEK SCHOOL,English Language Arts,0.50
2017,SAGE,ALPINE DISTRICT,BLACK RIDGE SCHOOL,English Language Arts,0.57
2017,SAGE,ALPINE DISTRICT,RIVER ROCK SCHOOL,English Language Arts,0.71
2017,SAGE,ALPINE DISTRICT,SPRINGSIDE SCHOOL,English Language Arts,0.41
2017,SAGE,ALPINE DISTRICT,SPRINGSIDE SCHOOL,English Language Arts,0.53
2017,SAGE,ALPINE DISTRICT,RIVER ROCK SCHOOL,English Language Arts,0.65
2017,SAGE,ALPINE DISTRICT,BLACK RIDGE SCHOOL,English Language Arts,0.51
2017,SAGE,ALPINE DISTRICT,DRY CREEK SCHOOL,English Language Arts,0.42
