LEA,school,year,r_1100,r_1110,r_1111,r_1112,r_1113,r_1114,r_1115,r_1118,r_1124,r_1125,r_1128,r_1129,r_1134,r_1135,r_1136,r_1140,r_1154,r_1160,r_1162,r_1164,r_1174,r_1178,r_1184,r_1190,r_1199,r_1200,r_1300,r_1310,r_1320,r_1330,r_1340,r_1400,r_1410,r_1420,r_1440,r_1500,r_1510,r_1515,r_1540,r_1610,r_1620,r_1690,r_1700,r_1710,r_1720,r_1730,r_1740,r_1741,r_1742,r_1743,r_1744,r_1745,r_1746,r_1747,r_1748,r_1750,r_1760,r_1770,r_1780,r_1790,r_1800,r_1900,r_1910,r_1920,r_1930,r_1940,r_1950,r_1960,r_1965,r_1970,r_1980,r_1990,r_2000,r_3000,r_3005,r_3010,r_3013,r_3015,r_3020,r_3025,r_3100,r_3105,r_3110,r_3115,r_3120,r_3125,r_3128,r_3130,r_3155,r_3160,r_3200,r_3209,r_3210,r_3211,r_3212,r_3213,r_3215,r_3218,r_3220,r_3221,r_3230,r_3270,r_3300,r_3322,r_3336,r_3400,r_3405,r_3410,r_3415,r_3423,r_3435,r_3448,r_3467,r_3468,r_3470,r_3471,r_3477,r_3480,r_3500,r_3515,r_3520,r_3522,r_3555,r_3560,r_3600,r_3610,r_3612,r_3613,r_3635,r_3636,r_3637,r_3641,r_3646,r_3650,r_3655,r_3661,r_3687,r_3700,r_3701,r_3703,r_3704,r_3706,r_3708,r_3709,r_3710,r_3713,r_3714,r_3716,r_3717,r_3718,r_3719,r_3720,r_3721,r_3725,r_3760,r_3762,r_3764,r_3769,r_3770,r_3772,r_3774,r_3776,r_3780,r_3785,r_3795,r_3799,r_3800,r_3805,r_3807,r_3808,r_3810,r_3816,r_3851,r_3861,r_3862,r_3865,r_3866,r_3867,r_3868,r_3876,r_3878,r_3881,r_3882,r_3900,r_3990,r_5000,r_5100,r_5110,r_5120,r_5130,r_5140,r_5200,r_5210,r_5300,r_5400,r_5500,r_5600,r_5900,r_6100,r_6200,r_6300,r_6400
Alpine District,American Fork High,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5050.0,,,,,,,,,9079.0,,,,,,42985.0,171587.0,,930982.0,646019.0,,,,,,,,,186580.0,,,,457132.0,,,24466.0,1000.0,,74303.0,,,,,,11279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,American Fork High,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5225.0,,,,,,,,,16025.0,,,,,,,196067.0,2650.0,758792.0,798314.0,,,,,,,,,203407.0,,,,517248.0,,,31100.0,2000.0,,73127.0,,,,,,7644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,American Fork High,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3515.0,,,,,,,,,23770.0,,,,,,,213750.0,14615.0,,1655649.0,,,,,,,,,236625.0,,,,533343.0,,,53914.0,2180.0,,75193.0,,,,,,6277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,American Fork High,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3965.0,,,,,,,,,19421.0,,,,,,,119004.0,227.0,,1252497.0,,,,,,,,,186318.0,18463.0,361648.0,,,,,49231.0,166054.0,,73080.0,,,,,,4884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,American Fork High,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12715.0,,,,,,,,,4477.0,,,,,,,82708.0,,,,204341.0,,207444.0,,167104.0,,1031793.0,,5378.0,18360.0,10924.0,228976.0,,,,82649.0,139355.0,,,,,,,,4623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,American Fork Jr High,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,955.0,,,,,,,,,12309.0,,,,,,,21186.0,,,355858.0,,,,,,,,,19795.0,,,,572.0,,,62794.0,,,21064.0,,,,,,19045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,American Fork Jr High,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.0,,,,,,,,,10717.0,,,,,,,15995.0,,,243128.0,,,,,,,,,58130.0,908.0,,,,,,66031.0,1894.0,,20156.0,,,,,,10603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,American Fork Jr High,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140.0,,,,,,,,,2632.0,,,,,,,1970.0,,,,84052.0,,91935.0,,64648.0,,38005.0,,8001.0,1626.0,,62422.0,,,,131191.0,1401.0,,,,,,,,2227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,Aspen School,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.0,,,,,,,,4296.0,,1325.0,,,,,,,,,1162.0,,,,16318.0,,,9638.0,300.0,,,,,,,,1844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,Aspen School,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.0,,,,,,,,3813.0,,1500.0,,,,,,,,,760.0,58.0,11098.0,,,,,13110.0,4434.0,,,,,,,,761.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,Aspen School,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,,,,,,,,3374.0,,,,,,,,,1700.0,,276.0,85.0,127.0,,,,,8520.0,5137.0,,,,,,,,409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,At Risk-Summit Jr High,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9877.0,,,,,,,,,10057.0,,,,,,31810.0,130972.0,,170271.0,603459.0,,,,,,,,,71909.0,,,,265967.0,,,32960.0,,,41991.0,,,,,,-592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,At Risk-Summit Jr High,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4210.0,,,,,,,,,15180.0,,,,,,,111147.0,,358906.0,715816.0,,,,,,,,,79838.0,,,,339902.0,,,26255.0,,,42792.0,,,,,,2180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine District,Barratt School,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2263.0,,,,,,,,2130.0,,1635.0,,,,,,,,,714.0,,,,23145.0,,,17936.0,961.0,,,,,,,,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.0,,,,,,,,,,,,,,,,,
Alpine District,Barratt School,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867.0,,,,,,,,2167.0,,,,,,,,,,,604.0,147.0,,,,,,15510.0,12255.0,,,,,,,,3071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
