LEA,school,year,e_1000,e_2100,e_2110,e_2120,e_2130,e_2140,e_2150,e_2160,e_2170,e_2180,e_2190,e_2200,e_2210,e_2212,e_2213,e_2219,e_2220,e_2230,e_2240,e_2290,e_2300,e_2310,e_2311,e_2312,e_2315,e_2316,e_2317,e_2319,e_2320,e_2321,e_2329,e_2400,e_2410,e_2490,e_2500,e_2510,e_2520,e_2530,e_2540,e_2560,e_2570,e_2580,e_2590,e_2600,e_2610,e_2620,e_2630,e_2640,e_2650,e_2660,e_2670,e_2680,e_2700,e_2710,e_2720,e_2730,e_2790,e_2795,e_2900,e_3100,e_3200,e_3300,e_3310,e_3350,e_3360,e_3370,e_3390,e_3395,e_4000,e_4100,e_4200,e_4300,e_4500,e_4502,e_4600,e_4700,e_4900,e_5000,e_5100,e_5200,e_5300,e_5900
Alpine District,Aspen School,2019,2112188.0,,,,188.0,,,,,,,,2876.0,,,,60506.0,,,,,,,,,,,,,,,,233574.0,,,200.0,,,,,,,,118586.0,,,,,,,,,,,,,,,,160661.0,,,,,,,,,,,25434.0,,,,,642963.0,,,,,,
Alpine District,Aspen School,2020,1921512.0,,,35724.0,124.0,,,,,,,,5023.0,,,,64635.0,,,,,,,,,,,,,,,,261152.0,,,77.0,,,,,,,,130442.0,,,,,,,,,,,,,,,,161220.0,,,,,,,,,,,,,32559.0,,,505020.0,,,,,,
Alpine District,Aspen School,2021,1910323.0,,,37923.0,79.0,95788.0,,,,,,,1953.0,,,,68792.0,,,,,,,,,,,,,,,,255767.0,,,36.0,,,,,,,,121110.0,,,,,,,,,,,,,,,,152099.0,,,,,,,,,,,3300.0,,2354.0,,,13770.0,,,,,,
Alpine District,At Risk-Summit Jr High,2017,6872660.0,,,400948.0,,147.0,,,,,,,95925.0,,,,143459.0,,,,,,,,,,,,,,,,1031950.0,,,24395.0,,,,,,,,383563.0,,,,,,,,,,,,,,,,141921.0,,,,,,,131815.0,,,355105.0,,,,,,,,,,,,
Alpine District,At Risk-Summit Jr High,2018,7215930.0,12686.0,,457047.0,4285.0,124923.0,,,,,,,70438.0,,,,154887.0,,,,,,,,,,,,,,,,973581.0,,,27568.0,,,,,,,,452009.0,,,,,,,,,,,,,,,,109436.0,,29702.0,,,,,,,,,,1165308.0,2992355.0,,,31964.0,,,,,,
Alpine District,Barratt School,2019,1932370.0,,,,,65976.0,,,,,,,2549.0,,,,65234.0,,,,,,,,,,,,,,,,227093.0,,,101.0,,,,,,,,126429.0,,,,,,,,,,,,,,,,165890.0,,41795.0,,,,,,,,,,,,,,254541.0,,,,,,
Alpine District,Barratt School,2020,2105177.0,,,,,65807.0,,,,,,,1318.0,,,,64101.0,,,,,,,,,,,,,,,,251752.0,,,5.0,,,,,,,,128044.0,,,,,,,,,,,,,,,,159070.0,,37382.0,1027.0,,,,,,,,,,,,,114979.0,,,,,,
Alpine District,Barratt School,2021,2434721.0,,,57489.0,500.0,68379.0,,,,,,,2986.0,,,,60942.0,,,,,,,,,,,,,,,,226571.0,,,55.0,,,,,,,,124602.0,,,,,,,,,,,,,,,,188909.0,,,,,,45167.0,,,,,,,,,,,,,,,,
Alpine District,Belmont School,2018,3820.0,,,,,,,,,,,,105.0,,,,,,,,,,,,,,,,,,,,19072.0,,,,,,,,,,,10801.0,,,,,,,,,,,,,,,,185.0,,,,,,,,,,,,134678.0,16810821.0,,137452.0,,,,,,,
Alpine District,Belmont School,2019,2868994.0,,,,560.0,,,,,,,,4441.0,,,,66010.0,,,,,,,,,,,,,,,,362095.0,,,338.0,,,,,,,,111574.0,,,,,,,,,,,,,,,,144239.0,,49758.0,689.0,,,,,,,,,22113.0,1000799.0,,,,,,,,,
Alpine District,Belmont School,2020,3044675.0,,,44400.0,223.0,,,,,,,,4150.0,,,,77088.0,,,,,,,,,,,,,,,,388826.0,,,97.0,,,,,,,,134187.0,,,,,,,,,,,,,,,,171788.0,,50521.0,1050.0,,,,,,,,,,2800.0,,,7824.0,,,,,,
Alpine District,Belmont School,2021,3262469.0,,,45694.0,189.0,,,,,,,,4504.0,,,,69218.0,,,,,,,,,,,,,,,,394078.0,,,11.0,,,,,,,,144886.0,,,,,,,,,,,,,,,,189117.0,,,,,,50430.0,,,,,,,,,,,,,,,,
Alpine District,Black Ridge School,2017,3521734.0,,,,179.0,89148.0,,,,,,,2801.0,,,,76970.0,,,,,,,,,,,,,,,,336321.0,,,,,,,,,,,127189.0,,,,,,,,,,,,,,,,174601.0,,,,,,,,,,,,,,95435.0,,,,,,,,
Alpine District,Black Ridge School,2018,3963096.0,,,,86.0,113689.0,,,,,,,3116.0,,,,77526.0,,,,,,,,,,,,,,,,357009.0,,,240.0,,,,,,,,143787.0,,,,,,,,,,,,,,,,131632.0,,,,,,,,,,,,,22382.0,,,,,,,,,
Alpine District,Black Ridge School,2019,3573332.0,,,,318.0,107678.0,,,,,,,3347.0,,,,73835.0,,,,,,,,,,,,,,,,367329.0,,,248.0,,,,,,,,148560.0,,,,,,,,,,,,,,,,210708.0,,,,,,,,,,,,,,,,3406.0,,,,,,
Alpine District,Black Ridge School,2020,4101138.0,,,53347.0,535.0,129558.0,,,,,,,4801.0,,,,80680.0,,,,,,,,,,,,,,,,391888.0,,,119.0,,,,,,,,147673.0,,,,,,,,,,,,,,,,231086.0,,,,,,,,,,,3920.0,,,,,,,,,,,
Alpine District,Black Ridge School,2021,4001792.0,,,55990.0,77.0,135183.0,,,,,,,4776.0,,,,82275.0,,,,,,,,,,,,,,,,409314.0,,,316.0,,,,,,,,159524.0,,,,,,,,,,,,,,,,289248.0,,,,,,,,,,,,,,,,20579.0,,,,,,
Alpine District,Bonneville School,2017,2111173.0,,,,869.0,56284.0,,,,,,,2526.0,,,,58483.0,,,,,,,,,,,,,,,,219147.0,,,40.0,,,,,,,,97849.0,,,,,,,,,,,,,,,,162292.0,,,,,,,,,,,,,,,,4524.0,,,,,,
